id,name,fips,val,pctile,fillKey
CA06091,Sierra,91,-0.942598343,0,1
CA06047,Merced,47,-0.505672574,1.8,1
CA06019,Fresno,19,-0.483650357,3.6,1
CA06107,Tulare,107,-0.457659125,5.4,1
CA06025,Imperial,25,-0.452673465,7.1,1
CA06031,Kings,31,-0.436198264,8.9,1
CA06033,Lake,33,-0.425476253,10.7,1
CA06029,Kern,29,-0.415892154,12.5,1
CA06015,Del Norte,15,-0.393956363,14.3,1
CA06039,Madera,39,-0.391275704,16.1,1
CA06115,Yuba,115,-0.370130509,17.9,1
CA06021,Glenn,21,-0.346928596,19.6,1
CA06099,Stanislaus,99,-0.332766622,21.4,1
CA06049,Modoc,49,-0.319432378,23.2,1
CA06071,San Bernardino,71,-0.305078417,25,2
CA06103,Tehama,103,-0.251521111,26.8,2
CA06093,Siskiyou,93,-0.240384325,28.6,2
CA06065,Riverside,65,-0.239188313,30.4,2
CA06077,San Joaquin,77,-0.228269354,32.1,2
CA06063,Plumas,63,-0.201889664,33.9,2
CA06101,Sutter,101,-0.199794933,35.7,2
CA06007,Butte,7,-0.179988518,37.5,2
CA06105,Trinity,105,-0.178929225,39.3,2
CA06009,Calaveras,9,-0.166596413,41.1,2
CA06089,Shasta,89,-0.162630364,42.9,2
CA06045,Mendocino,45,-0.146031663,44.6,2
CA06035,Lassen,35,-0.142433211,46.4,2
CA06011,Colusa,11,-0.14033924,48.2,2
CA06037,Los Angeles,37,-0.136200652,50,3
CA06023,Humboldt,23,-0.108136304,51.8,3
CA06053,Monterey,53,-0.100687593,53.6,3
CA06109,Tuolumne,109,-0.034874897,55.4,3
CA06067,Sacramento,67,-0.033555888,57.1,3
CA06043,Mariposa,43,0.032174937,58.9,3
CA06005,Amador,5,0.038729507,60.7,3
CA06095,Solano,95,0.070878103,62.5,3
CA06073,San Diego,73,0.079403527,64.3,3
CA06113,Yolo,113,0.101104878,66.1,3
CA06069,San Benito,69,0.10390161,67.9,3
CA06083,Santa Barbara,83,0.142170325,69.6,3
CA06057,Nevada,57,0.1463864,71.4,3
CA06027,Inyo,27,0.153106675,73.2,3
CA06059,Orange,59,0.16351746,75,4
CA06079,San Luis Obispo,79,0.191577435,76.8,4
CA06111,Ventura,111,0.200653881,78.6,4
CA06087,Santa Cruz,87,0.20532608,80.4,4
CA06097,Sonoma,97,0.251190007,82.1,4
CA06017,El Dorado,17,0.270853937,83.9,4
CA06055,Napa,55,0.288500011,85.7,4
CA06061,Placer,61,0.330775708,87.5,4
CA06001,Alameda,1,0.351425141,89.3,4
CA06051,Mono,51,0.392293811,91.1,4
CA06013,Contra Costa,13,0.41845873,92.9,4
CA06085,Santa Clara,85,0.465321749,94.6,4
CA06075,San Francisco,75,0.470234066,96.4,4
CA06081,San Mateo,81,0.594291508,98.2,4
CA06041,Marin,41,0.746605456,100,4
