id,val,pctile,fillKey
SS06014,-0.736495018,0.0,1
SS06030,-0.478521675,2.6,1
SS06024,-0.459154993,5.1,1
SS06033,-0.459077924,7.7,1
SS06012,-0.450304061,10.3,1
SS06020,-0.373835385,12.8,1
SS06016,-0.300329357,15.4,1
SS06035,-0.294397682,17.9,1
SS06040,-0.285492569,20.5,1
SS06031,-0.263181388,23.1,1
SS06023,-0.256909192,25.6,2
SS06021,-0.254702628,28.2,2
SS06005,-0.220145926,30.8,2
SS06022,-0.205381587,33.3,2
SS06018,-0.188032284,35.9,2
SS06008,-0.164084405,38.5,2
SS06028,-0.163853705,41.0,2
SS06004,-0.111229494,43.6,2
SS06034,-0.104886591,46.2,2
SS06006,-0.100110695,48.7,2
SS06032,-0.068893336,51.3,3
SS06019,0.059141595,53.8,3
SS06038,0.080957852,56.4,3
SS06029,0.091792062,59.0,3
SS06001,0.157408148,61.5,3
SS06025,0.173187569,64.1,3
SS06003,0.190700158,66.7,3
SS06002,0.209684774,69.2,3
SS06017,0.211725831,71.8,3
SS06009,0.230061844,74.4,3
SS06036,0.301469535,76.9,4
SS06027,0.312992781,79.5,4
SS06039,0.354517639,82.1,4
SS06037,0.375760436,84.6,4
SS06015,0.382375985,87.2,4
SS06010,0.385075271,89.7,4
SS06011,0.466674984,92.3,4
SS06026,0.48649919,94.9,4
SS06007,0.532398045,97.4,4
SS06013,0.696362197,100.0,4
